bm_name	bm_query	gen_exs	inf_typs	num_exs	rank	prefilter_counts	postfilter_counts	var_counts	arg_counts
			(Ord t0) => (t2 -> t0 -> u1) -> (t2 -> t0) -> t2 -> u1						
			(Num u1) => (t2 -> t0 -> u1) -> (t2 -> t0) -> t2 -> u1						
			(Ord u1) => (t2 -> t0 -> u1) -> (t2 -> t0) -> t2 -> u1						
singleList	Int -> [Int]	-5 ==> [-5]	b1 -> [b1]	1	2	45	7	0	1
			Int -> [Int]						
			(Num b1) => b1 -> [b1]						
			(Ord b1) => b1 -> [b1]						
			(Eq b1) => b1 -> [b1]						
			(Ord b1) => b1 -> [Int]						
			(Eq b1) => b1 -> [Int]						
singleList	Int -> [Int]	-5 ==> [-5]	b1 -> [b1]	2	2	45	7	0	1
		5 ==> [5]	Int -> [Int]						
			(Num b1) => b1 -> [b1]						
			(Ord b1) => b1 -> [b1]						
			(Eq b1) => b1 -> [b1]						
			(Ord b1) => b1 -> [Int]						
			(Eq b1) => b1 -> [Int]						
singleList	Int -> [Int]	-5 ==> [-5]	b1 -> [b1]	3	2	45	7	0	1
		5 ==> [5]	Int -> [Int]						
		2 ==> [2]	(Num b1) => b1 -> [b1]						
			(Ord b1) => b1 -> [b1]						
			(Eq b1) => b1 -> [b1]						
			(Ord b1) => b1 -> [Int]						
			(Eq b1) => b1 -> [Int]						
head-tail	[a] -> (a,a)	[-4,-3,5,1,1] ==> (-4,1)	[b1] -> (b1 , b1)	1	1	413	17	1	1
			[Int] -> (Int , Int)						
			(Num b1) => [b1] -> (b1 , b1)						
			(Ord b1) => [b1] -> (b1 , b1)						
			(Eq b1) => [b1] -> (b1 , b1)						
			[b1] -> (Int , Int)						
			[b1] -> (Int , b1)						
			[b1] -> (b1 , Int)						
			(Num b1) => [b1] -> (Int , Int)						
			(Num b1) => [b1] -> (Int , b1)						
head-tail	[a] -> (a,a)	[-4,-3,5,1,1] ==> (-4,1)	[t0] -> (t0 , t0)	2	1	24	3	1	1
		["\DEL"] ==> ("\DEL","\DEL")	(Eq t0) => [t0] -> (t0 , t0)						
			(Ord t0) => [t0] -> (t0 , t0)						
head-tail	[a] -> (a,a)	[-4,-3,5,1,1] ==> (-4,1)	[t1] -> (t1 , t1)	3	1	24	3	1	1
		["\DEL"] ==> ("\DEL","\DEL")	(Eq t1) => [t1] -> (t1 , t1)						
		"\569916" ==> ('\569916','\569916')	(Ord t1) => [t1] -> (t1 , t1)						
head-rest	[a] -> (a, [a])	[4,1,9,-9,1] ==> (4,[1,9,-9,1])	[b1] -> (b1 , [b1])	1	1	413	17	1	1
			[Int] -> (Int , [Int])						
			(Num b1) => [b1] -> (b1 , [b1])						
			(Ord b1) => [b1] -> (b1 , [b1])						
			(Eq b1) => [b1] -> (b1 , [b1])						
			[b1] -> (Int , [Int])						
			[b1] -> (Int , [b1])						
			[b1] -> (b1 , [Int])						
			(Num b1) => [b1] -> (Int , [Int])						
			(Num b1) => [b1] -> (Int , [b1])						
head-rest	[a] -> (a, [a])	[4,1,9,-9,1] ==> (4,[1,9,-9,1])	[t0] -> (t0 , [t0])	2	1	24	3	1	1
		["","","\849133L\SUBnv"] ==> ("",["","\849133L\SUBnv"])	(Eq t0) => [t0] -> (t0 , [t0])						
			(Ord t0) => [t0] -> (t0 , [t0])						
head-rest	[a] -> (a, [a])	[4,1,9,-9,1] ==> (4,[1,9,-9,1])	[t1] -> (t1 , [t1])	3	1	24	3	1	1
		["","","\849133L\SUBnv"] ==> ("",["","\849133L\SUBnv"])	(Eq t1) => [t1] -> (t1 , [t1])						
		"y\DC1\904257d\DC2" ==> ('y',"\DC1\904257d\DC2")	(Ord t1) => [t1] -> (t1 , [t1])						
pred-match	[a] -> (a -> Bool) -> Int	["","A\231657\&1z","\NAK]]\84830"] (\x -> case x of "" -> True; "a" -> True; "aa" -> False; " " -> True; _ -> error "unhandled";) ==> 1	[[b1]] -> ([b1] -> Bool) -> Int	1	2	3506	275	1	2
			[b1] -> (b1 -> Bool) -> Int						
			[[Char]] -> ([Char] -> Bool) -> Int						
			(Ord c1) => [[b1]] -> ([b1] -> c1) -> Int						
			(Eq c1) => [[b1]] -> ([b1] -> c1) -> Int						
			(Ord c1) => [b1] -> (b1 -> c1) -> Int						
			(Eq c1) => [b1] -> (b1 -> c1) -> Int						
			(Eq b1) => [[Char]] -> ([Char] -> b1) -> Int						
			(Ord b1) => [[Char]] -> ([Char] -> b1) -> Int						
			(Ord b1) => [[b1]] -> ([b1] -> Bool) -> Int						
pred-match	[a] -> (a -> Bool) -> Int	["","A\231657\&1z","\NAK]]\84830"] (\x -> case x of "" -> True; "a" -> True; "aa" -> False; " " -> True; _ -> error "unhandled";) ==> 1	[[b1]] -> ([b1] -> Bool) -> Int	2	2	3506	275	1	2
		["","\ETX\1063535","G\EOT"] (\x -> case x of "" -> True; "a" -> True; "aa" -> False; " " -> False; _ -> error "unhandled";) ==> 2	[b1] -> (b1 -> Bool) -> Int						
			[[Char]] -> ([Char] -> Bool) -> Int						
			(Ord c1) => [[b1]] -> ([b1] -> c1) -> Int						
			(Eq c1) => [[b1]] -> ([b1] -> c1) -> Int						
			(Ord c1) => [b1] -> (b1 -> c1) -> Int						
			(Eq c1) => [b1] -> (b1 -> c1) -> Int						
			(Eq b1) => [[Char]] -> ([Char] -> b1) -> Int						
			(Ord b1) => [[Char]] -> ([Char] -> b1) -> Int						
			(Ord b1) => [[b1]] -> ([b1] -> Bool) -> Int						
pred-match	[a] -> (a -> Bool) -> Int	["","A\231657\&1z","\NAK]]\84830"] (\x -> case x of "" -> True; "a" -> True; "aa" -> False; " " -> True; _ -> error "unhandled";) ==> 1	[[b1]] -> ([b1] -> Bool) -> Int	3	2	3506	275	1	2
		["","\ETX\1063535","G\EOT"] (\x -> case x of "" -> True; "a" -> True; "aa" -> False; " " -> False; _ -> error "unhandled";) ==> 2	[b1] -> (b1 -> Bool) -> Int						
		["\DEL","RN","l\"a\aD"] (\x -> case x of "" -> True; "a" -> True; "aa" -> False; " " -> True; _ -> error "unhandled";) ==> 1	[[Char]] -> ([Char] -> Bool) -> Int						
			(Ord c1) => [[b1]] -> ([b1] -> c1) -> Int						
			(Eq c1) => [[b1]] -> ([b1] -> c1) -> Int						
			(Ord c1) => [b1] -> (b1 -> c1) -> Int						
			(Eq c1) => [b1] -> (b1 -> c1) -> Int						
			(Eq b1) => [[Char]] -> ([Char] -> b1) -> Int						
			(Ord b1) => [[Char]] -> ([Char] -> b1) -> Int						
			(Ord b1) => [[b1]] -> ([b1] -> Bool) -> Int						
splitStr	String -> Char -> [String]	"p\a\SOH\338451d" '\\' ==> ["p\a\SOH\338451d"]	[b1] -> b1 -> [[b1]]	1	2	607	96	0	2
			[Char] -> Char -> [[Char]]						
			(Ord b1) => [b1] -> b1 -> [[b1]]						
			(Eq b1) => [b1] -> b1 -> [[b1]]						
			[b1] -> b2 -> [[b2]]						
			[Char] -> b1 -> [[b1]]						
			[b1] -> Char -> [[Char]]						
			[b1] -> Char -> [[b1]]						
			b1 -> Char -> [b1]						
			(Ord b2) => [b1] -> b2 -> [[b1]]						
splitStr	String -> Char -> [String]	"p\a\SOH\338451d" '\\' ==> ["p\a\SOH\338451d"]	[b1] -> b1 -> [[b1]]	2	2	607	96	0	2
		"u$}SV" '\864452' ==> ["u$}SV"]	[Char] -> Char -> [[Char]]						
			(Ord b1) => [b1] -> b1 -> [[b1]]						
			(Eq b1) => [b1] -> b1 -> [[b1]]						
			[b1] -> b2 -> [[b2]]						
			[Char] -> b1 -> [[b1]]						
			[b1] -> Char -> [[Char]]						
			[b1] -> Char -> [[b1]]						
			b1 -> Char -> [b1]						
			(Ord b2) => [b1] -> b2 -> [[b1]]						
splitStr	String -> Char -> [String]	"p\a\SOH\338451d" '\\' ==> ["p\a\SOH\338451d"]	[b1] -> b1 -> [[b1]]	3	2	607	96	0	2
		"u$}SV" '\864452' ==> ["u$}SV"]	[Char] -> Char -> [[Char]]						
		"\NUL]" '\804509' ==> ["\NUL]"]	(Ord b1) => [b1] -> b1 -> [[b1]]						
			(Eq b1) => [b1] -> b1 -> [[b1]]						
			[b1] -> b2 -> [[b2]]						
			[Char] -> b1 -> [[b1]]						
			[b1] -> Char -> [[Char]]						
			[b1] -> Char -> [[b1]]						
			b1 -> Char -> [b1]						
			(Ord b2) => [b1] -> b2 -> [[b1]]						
splitAtFirst	a -> [a] -> ([a], [a])	'\STX' "\DC1" ==> ("","\DC1")	b1 -> [b1] -> ([b1] , [b1])	1	1	7015	300	1	2
			Char -> [Char] -> ([Char] , [Char])						
			(Ord b1) => b1 -> [b1] -> ([b1] , [b1])						
			(Eq b1) => b1 -> [b1] -> ([b1] , [b1])						
			b1 -> [b2] -> ([b1] , [b1])						
			b1 -> [b2] -> ([b1] , [b2])						
			b1 -> [b2] -> ([b2] , [b1])						
			b1 -> c1 -> ([b1] , c1)						
			b1 -> c1 -> (c1 , [b1])						
			Char -> [b1] -> ([Char] , [Char])						
splitAtFirst	a -> [a] -> ([a], [a])	'\STX' "\DC1" ==> ("","\DC1")	b1 -> [b1] -> ([b1] , [b1])	2	1	7015	300	1	2
		'\960756' "\DEL\804820" ==> ("","\DEL\804820")	Char -> [Char] -> ([Char] , [Char])						
			(Ord b1) => b1 -> [b1] -> ([b1] , [b1])						
			(Eq b1) => b1 -> [b1] -> ([b1] , [b1])						
			b1 -> [b2] -> ([b1] , [b1])						
			b1 -> [b2] -> ([b1] , [b2])						
			b1 -> [b2] -> ([b2] , [b1])						
			b1 -> c1 -> ([b1] , c1)						
			b1 -> c1 -> (c1 , [b1])						
			Char -> [b1] -> ([Char] , [Char])						
splitAtFirst	a -> [a] -> ([a], [a])	'\STX' "\DC1" ==> ("","\DC1")	b1 -> [b1] -> ([b1] , [b1])	3	1	7015	300	1	2
		'\960756' "\DEL\804820" ==> ("","\DEL\804820")	Char -> [Char] -> ([Char] , [Char])						
		'\DC2' "\EOTbY" ==> ("","\EOTbY")	(Ord b1) => b1 -> [b1] -> ([b1] , [b1])						
			(Eq b1) => b1 -> [b1] -> ([b1] , [b1])						
			b1 -> [b2] -> ([b1] , [b1])						
			b1 -> [b2] -> ([b1] , [b2])						
			b1 -> [b2] -> ([b2] , [b1])						
			b1 -> c1 -> ([b1] , c1)						
			b1 -> c1 -> (c1 , [b1])						
			Char -> [b1] -> ([Char] , [Char])						
mbToEither	Maybe a -> b -> Either a b	Nothing 5 ==> Right 5	Maybe (b1) -> b1 -> Either (b1) (b1)	1	NO ANSWER	44	20	2	2
			(Num b1) => Maybe (b1) -> b1 -> Either (b1) (b1)						
			(Ord b1) => Maybe (b1) -> b1 -> Either (b1) (b1)						
			(Eq b1) => Maybe (b1) -> b1 -> Either (b1) (b1)						
			Maybe (b1) -> Int -> Either (b1) (b1)						
			Maybe (b1) -> b1 -> Either (b1) (Int)						
			(Ord b1) => Maybe (b2) -> b1 -> Either (b2) (b2)						
			(Eq b1) => Maybe (b2) -> b1 -> Either (b2) (b2)						
			(Eq b1) => Maybe (b1) -> Int -> Either (b1) (b1)						
			(Num b1) => Maybe (b1) -> Int -> Either (b1) (b1)						
mbToEither	Maybe a -> b -> Either a b	Nothing 5 ==> Right 5	Maybe ([b1]) -> t0 -> Either ([b1]) (t0)	2	2	1425	159	2	2
		Just "7\ESC\408008\v\401731\&3wvE\940132" '\131062' ==> Left "7\ESC\408008\v\401731\&3wvE\940132"	Maybe (b1) -> t0 -> Either (b1) (t0)						
			Maybe ([Char]) -> t0 -> Either ([Char]) (t0)						
			Maybe ([t0]) -> t0 -> Either ([t0]) (t0)						
			Maybe (t0) -> t0 -> Either (t0) (t0)						
			(Eq t0) => Maybe ([b1]) -> t0 -> Either ([b1]) (t0)						
			(Ord t0) => Maybe ([b1]) -> t0 -> Either ([b1]) (t0)						
			(Ord b1) => Maybe ([b1]) -> t0 -> Either ([b1]) (t0)						
			(Eq b1) => Maybe ([b1]) -> t0 -> Either ([b1]) (t0)						
			(Eq t0) => Maybe (b1) -> t0 -> Either (b1) (t0)						
mbToEither	Maybe a -> b -> Either a b	Nothing 5 ==> Right 5	Maybe (t1) -> t0 -> Either (t1) (t0)	3	1	216	66	2	2
		Just "7\ESC\408008\v\401731\&3wvE\940132" '\131062' ==> Left "7\ESC\408008\v\401731\&3wvE\940132"	(Eq t1) => Maybe (t1) -> t0 -> Either (t1) (t0)						
		Just '\SO' '\a' ==> Left '\SO'	(Ord t1) => Maybe (t1) -> t0 -> Either (t1) (t0)						
			(Eq t0) => Maybe (t1) -> t0 -> Either (t1) (t0)						
			(Ord t0) => Maybe (t1) -> t0 -> Either (t1) (t0)						
			(Eq t0, Eq t1) => Maybe (t1) -> t0 -> Either (t1) (t0)						
			(Ord t0, Eq t1) => Maybe (t1) -> t0 -> Either (t1) (t0)						
			(Eq t0, Ord t1) => Maybe (t1) -> t0 -> Either (t1) (t0)						
			(Ord t0, Ord t1) => Maybe (t1) -> t0 -> Either (t1) (t0)						
			Maybe (t1) -> t0 -> Either (t0) (t0)						
cartProduct	[a] -> [b] -> [[(a,b)]]	[2.5651184192050263,-9.055925308562122,-54.32109345202254,-15.262333386977577] [6.220545500985017,10.147853737990886,-6.8628402507713435] ==> [[(2.5651184192050263,6.220545500985017),(2.5651184192050263,10.147853737990886),(2.5651184192050263,-6.8628402507713435)],[(-9.055925308562122,6.220545500985017),(-9.055925308562122,10.147853737990886),(-9.055925308562122,-6.8628402507713435)],[(-54.32109345202254,6.220545500985017),(-54.32109345202254,10.147853737990886),(-54.32109345202254,-6.8628402507713435)],[(-15.262333386977577,6.220545500985017),(-15.262333386977577,10.147853737990886),(-15.262333386977577,-6.8628402507713435)]]	[b1] -> [b1] -> [[(b1 , b1)]]	1	7	2781	337	2	2
			[Double] -> [Double] -> [[(Double , Double)]]						
			(Num b1) => [b1] -> [b1] -> [[(b1 , b1)]]						
			(Ord b1) => [b1] -> [b1] -> [[(b1 , b1)]]						
			(Eq b1) => [b1] -> [b1] -> [[(b1 , b1)]]						
			[b1] -> [b2] -> [[(b1 , b1)]]						
			[b1] -> [b2] -> [[(b1 , b2)]]						
			[b1] -> [b2] -> [[(b2 , b1)]]						
			[b1] -> [b2] -> [[(b2 , b2)]]						
			[Double] -> [b1] -> [[(Double , Double)]]						
cartProduct	[a] -> [b] -> [[(a,b)]]	[2.5651184192050263,-9.055925308562122,-54.32109345202254,-15.262333386977577] [6.220545500985017,10.147853737990886,-6.8628402507713435] ==> [[(2.5651184192050263,6.220545500985017),(2.5651184192050263,10.147853737990886),(2.5651184192050263,-6.8628402507713435)],[(-9.055925308562122,6.220545500985017),(-9.055925308562122,10.147853737990886),(-9.055925308562122,-6.8628402507713435)],[(-54.32109345202254,6.220545500985017),(-54.32109345202254,10.147853737990886),(-54.32109345202254,-6.8628402507713435)],[(-15.262333386977577,6.220545500985017),(-15.262333386977577,10.147853737990886),(-15.262333386977577,-6.8628402507713435)]]	[t0] -> [t1] -> [[(t0 , t1)]]	2	1	216	72	2	2
		["\1000741t"] "&)" ==> [[("\1000741t",'&'),("\1000741t",')')]]	(Eq t0) => [t0] -> [t1] -> [[(t0 , t1)]]						
			(Ord t0) => [t0] -> [t1] -> [[(t0 , t1)]]						
			(Eq t1) => [t0] -> [t1] -> [[(t0 , t1)]]						
			(Ord t1) => [t0] -> [t1] -> [[(t0 , t1)]]						
			(Eq t0, Eq t1) => [t0] -> [t1] -> [[(t0 , t1)]]						
			(Eq t0, Ord t1) => [t0] -> [t1] -> [[(t0 , t1)]]						
			(Ord t0, Eq t1) => [t0] -> [t1] -> [[(t0 , t1)]]						
			(Ord t0, Ord t1) => [t0] -> [t1] -> [[(t0 , t1)]]						
			[t0] -> [t1] -> [[(t0 , t0)]]						
cartProduct	[a] -> [b] -> [[(a,b)]]	[2.5651184192050263,-9.055925308562122,-54.32109345202254,-15.262333386977577] [6.220545500985017,10.147853737990886,-6.8628402507713435] ==> [[(2.5651184192050263,6.220545500985017),(2.5651184192050263,10.147853737990886),(2.5651184192050263,-6.8628402507713435)],[(-9.055925308562122,6.220545500985017),(-9.055925308562122,10.147853737990886),(-9.055925308562122,-6.8628402507713435)],[(-54.32109345202254,6.220545500985017),(-54.32109345202254,10.147853737990886),(-54.32109345202254,-6.8628402507713435)],[(-15.262333386977577,6.220545500985017),(-15.262333386977577,10.147853737990886),(-15.262333386977577,-6.8628402507713435)]]	[t0] -> [t0] -> [[(t0 , t0)]]	3	NO ANSWER	60	9	2	2
		["\1000741t"] "&)" ==> [[("\1000741t",'&'),("\1000741t",')')]]	(Eq t0) => [t0] -> [t0] -> [[(t0 , t0)]]						
		[">\327162lF\SO\276549{~","","aX2\441832\ENQ","","Dp\977112rKK\542924K","\986651W","E\370657","s\741498\223198iZYl7",""] ["]E&","\EM\1092287!<\637334%c\SUB","2Wu\ETX/","M\183956\389380VI","\864663\42832","|"] ==> [[(">\327162lF\SO\276549{~","]E&"),(">\327162lF\SO\276549{~","\EM\1092287!<\637334%c\SUB"),(">\327162lF\SO\276549{~","2Wu\ETX/"),(">\327162lF\SO\276549{~","M\183956\389380VI"),(">\327162lF\SO\276549{~","\864663\42832"),(">\327162lF\SO\276549{~","|")],[("","]E&"),("","\EM\1092287!<\637334%c\SUB"),("","2Wu\ETX/"),("","M\183956\389380VI"),("","\864663\42832"),("","|")],[("aX2\441832\ENQ","]E&"),("aX2\441832\ENQ","\EM\1092287!<\637334%c\SUB"),("aX2\441832\ENQ","2Wu\ETX/"),("aX2\441832\ENQ","M\183956\389380VI"),("aX2\441832\ENQ","\864663\42832"),("aX2\441832\ENQ","|")],[("","]E&"),("","\EM\1092287!<\637334%c\SUB"),("","2Wu\ETX/"),("","M\183956\389380VI"),("","\864663\42832"),("","|")],[("Dp\977112rKK\542924K","]E&"),("Dp\977112rKK\542924K","\EM\1092287!<\637334%c\SUB"),("Dp\977112rKK\542924K","2Wu\ETX/"),("Dp\977112rKK\542924K","M\183956\389380VI"),("Dp\977112rKK\542924K","\864663\42832"),("Dp\977112rKK\542924K","|")],[("\986651W","]E&"),("\986651W","\EM\1092287!<\637334%c\SUB"),("\986651W","2Wu\ETX/"),("\986651W","M\183956\389380VI"),("\986651W","\864663\42832"),("\986651W","|")],[("E\370657","]E&"),("E\370657","\EM\1092287!<\637334%c\SUB"),("E\370657","2Wu\ETX/"),("E\370657","M\183956\389380VI"),("E\370657","\864663\42832"),("E\370657","|")],[("s\741498\223198iZYl7","]E&"),("s\741498\223198iZYl7","\EM\1092287!<\637334%c\SUB"),("s\741498\223198iZYl7","2Wu\ETX/"),("s\741498\223198iZYl7","M\183956\389380VI"),("s\741498\223198iZYl7","\864663\42832"),("s\741498\223198iZYl7","|")],[("","]E&"),("","\EM\1092287!<\637334%c\SUB"),("","2Wu\ETX/"),("","M\183956\389380VI"),("","\864663\42832"),("","|")]]	(Ord t0) => [t0] -> [t0] -> [[(t0 , t0)]]						
			[t0] -> [t1] -> [[(t0 , t0)]]						
			(Eq t0) => [t0] -> [t1] -> [[(t0 , t0)]]						
			(Ord t0) => [t0] -> [t1] -> [[(t0 , t0)]]						
multiAppPair	(a -> b, a -> c) -> a -> (b, c)	((\x -> case x of 'a' -> 6; ' ' -> 3; 'b' -> -3; 'A' -> -1; _ -> error "unhandled";),(\x -> case x of 'a' -> "\ENQ#T"; ' ' -> "5\494432\421840X3\DC4"; 'b' -> "x"; 'A' -> ""; _ -> error "unhandled";)) '\150227' ==> (2,"")	(b1 -> c1 , b1 -> [b1]) -> b1 -> (c1 , [b1])	1	NO ANSWER	973578	85591	3	2
			(Char -> b1 , Char -> [Char]) -> Char -> (b1 , [Char])						
			(b1 -> Int , b1 -> [b1]) -> b1 -> (Int , [b1])						
			(Char -> Int , Char -> [Char]) -> Char -> (Int , [Char])						
			(Num c1) => (b1 -> c1 , b1 -> [b1]) -> b1 -> (c1 , [b1])						
			(Ord c1) => (b1 -> c1 , b1 -> [b1]) -> b1 -> (c1 , [b1])						
			(Eq c1) => (b1 -> c1 , b1 -> [b1]) -> b1 -> (c1 , [b1])						
			(Ord b1) => (b1 -> c1 , b1 -> [b1]) -> b1 -> (c1 , [b1])						
			(Eq b1) => (b1 -> c1 , b1 -> [b1]) -> b1 -> (c1 , [b1])						
			(Num b1) => (Char -> b1 , Char -> [Char]) -> Char -> (b1 , [Char])						
multiAppPair	(a -> b, a -> c) -> a -> (b, c)	((\x -> case x of 'a' -> 6; ' ' -> 3; 'b' -> -3; 'A' -> -1; _ -> error "unhandled";),(\x -> case x of 'a' -> "\ENQ#T"; ' ' -> "5\494432\421840X3\DC4"; 'b' -> "x"; 'A' -> ""; _ -> error "unhandled";)) '\150227' ==> (2,"")	(t0 -> t1 , t0 -> t2) -> t0 -> (t1 , t2)	2	1	27648	8610	3	2
		((\x -> case x of 0 -> ':'; 1 -> '\866615'; -1 -> '$'; 2 -> 'h'; _ -> error "unhandled";),(\x -> case x of 0 -> '"'; 1 -> '\954981'; -1 -> 'S'; 2 -> '('; _ -> error "unhandled";)) 5 ==> ('F','^')	(Eq t0) => (t0 -> t1 , t0 -> t2) -> t0 -> (t1 , t2)						
			(Ord t0) => (t0 -> t1 , t0 -> t2) -> t0 -> (t1 , t2)						
			(Eq t1) => (t0 -> t1 , t0 -> t2) -> t0 -> (t1 , t2)						
			(Ord t1) => (t0 -> t1 , t0 -> t2) -> t0 -> (t1 , t2)						
			(Eq t2) => (t0 -> t1 , t0 -> t2) -> t0 -> (t1 , t2)						
			(Ord t2) => (t0 -> t1 , t0 -> t2) -> t0 -> (t1 , t2)						
			(t0 -> t1 , t3 -> t2) -> t0 -> (t1 , t2)						
			(Eq t0, Eq t1) => (t0 -> t1 , t0 -> t2) -> t0 -> (t1 , t2)						
			(Eq t0, Ord t1) => (t0 -> t1 , t0 -> t2) -> t0 -> (t1 , t2)						
multiAppPair	(a -> b, a -> c) -> a -> (b, c)	((\x -> case x of 'a' -> 6; ' ' -> 3; 'b' -> -3; 'A' -> -1; _ -> error "unhandled";),(\x -> case x of 'a' -> "\ENQ#T"; ' ' -> "5\494432\421840X3\DC4"; 'b' -> "x"; 'A' -> ""; _ -> error "unhandled";)) '\150227' ==> (2,"")	(t3 -> t3 , t3 -> t0) -> t3 -> (t3 , t0)	3	NO ANSWER	8019	1620	3	2
		((\x -> case x of 0 -> ':'; 1 -> '\866615'; -1 -> '$'; 2 -> 'h'; _ -> error "unhandled";),(\x -> case x of 0 -> '"'; 1 -> '\954981'; -1 -> 'S'; 2 -> '('; _ -> error "unhandled";)) 5 ==> ('F','^')	(Eq t3) => (t3 -> t3 , t3 -> t0) -> t3 -> (t3 , t0)						
		((\x -> case x of "" -> "d:\GS"; "a" -> "q\STX<"; "aa" -> ""; " " -> "]C"; _ -> error "unhandled";),(\x -> case x of "" -> 3; "a" -> -2; "aa" -> -1; " " -> -1; _ -> error "unhandled";)) "[Y\218349" ==> ("\GSI",-3)	(Ord t3) => (t3 -> t3 , t3 -> t0) -> t3 -> (t3 , t0)						
			(Eq t0) => (t3 -> t3 , t3 -> t0) -> t3 -> (t3 , t0)						
			(Ord t0) => (t3 -> t3 , t3 -> t0) -> t3 -> (t3 , t0)						
			(t3 -> t3 , t1 -> t0) -> t3 -> (t3 , t0)						
			(t3 -> t1 , t3 -> t0) -> t3 -> (t3 , t0)						
			(Eq t0, Eq t3) => (t3 -> t3 , t3 -> t0) -> t3 -> (t3 , t0)						
			(Ord t0, Eq t3) => (t3 -> t3 , t3 -> t0) -> t3 -> (t3 , t0)						
			(Eq t0, Ord t3) => (t3 -> t3 , t3 -> t0) -> t3 -> (t3 , t0)						
hoogle01	(a -> b) -> [a] -> b	(\x -> case x of "" -> '\310543'; "a" -> '2'; "aa" -> 'i'; " " -> '\NAK'; _ -> error "unhandled";) ["vZ\rx\46248\978928","\DEL\ENQ\DC1?","\1093776z\1064066b","O","&DPA"] ==> 'B'	([b1] -> b1) -> [[b1]] -> b1	1	6	3907	944	2	2
			([Char] -> Char) -> [[Char]] -> Char						
			(Ord b1) => ([b1] -> b1) -> [[b1]] -> b1						
			(Eq b1) => ([b1] -> b1) -> [[b1]] -> b1						
			([b1] -> b2) -> [[b1]] -> b2						
			(b1 -> c1) -> [b1] -> c1						
			([Char] -> Char) -> [[b1]] -> Char						
			([Char] -> Char) -> [[b1]] -> b1						
			([Char] -> Char) -> [b1] -> Char						
			([Char] -> b1) -> [[Char]] -> b1						
hoogle01	(a -> b) -> [a] -> b	(\x -> case x of "" -> '\310543'; "a" -> '2'; "aa" -> 'i'; " " -> '\NAK'; _ -> error "unhandled";) ["vZ\rx\46248\978928","\DEL\ENQ\DC1?","\1093776z\1064066b","O","&DPA"] ==> 'B'	(t0 -> t1) -> [t0] -> t1	2	1	216	80	2	2
		(\x -> case x of 'a' -> "\SOH\19750,\548421w\661289*\441193"; ' ' -> "\131028\&1OqjY\92885"; 'b' -> "D%\27948\&7dJq~G"; 'A' -> "\SOH\19750,\548421w\661289*\441193"; _ -> error "unhandled";) "\352262r\vc\SYN" ==> "\SI"	(Eq t0) => (t0 -> t1) -> [t0] -> t1						
			(Ord t0) => (t0 -> t1) -> [t0] -> t1						
			(Eq t1) => (t0 -> t1) -> [t0] -> t1						
			(Ord t1) => (t0 -> t1) -> [t0] -> t1						
			(Eq t0, Eq t1) => (t0 -> t1) -> [t0] -> t1						
			(Eq t0, Ord t1) => (t0 -> t1) -> [t0] -> t1						
			(Ord t0, Eq t1) => (t0 -> t1) -> [t0] -> t1						
			(Ord t0, Ord t1) => (t0 -> t1) -> [t0] -> t1						
			(Eq t0) => (t0 -> t1) -> [t2] -> t1						
hoogle01	(a -> b) -> [a] -> b	(\x -> case x of "" -> '\310543'; "a" -> '2'; "aa" -> 'i'; " " -> '\NAK'; _ -> error "unhandled";) ["vZ\rx\46248\978928","\DEL\ENQ\DC1?","\1093776z\1064066b","O","&DPA"] ==> 'B'	(t2 -> t1) -> [t2] -> t1	3	1	216	80	2	2
		(\x -> case x of 'a' -> "\SOH\19750,\548421w\661289*\441193"; ' ' -> "\131028\&1OqjY\92885"; 'b' -> "D%\27948\&7dJq~G"; 'A' -> "\SOH\19750,\548421w\661289*\441193"; _ -> error "unhandled";) "\352262r\vc\SYN" ==> "\SI"	(Eq t2) => (t2 -> t1) -> [t2] -> t1						
		(\x -> case x of 0 -> "5\736132"; 1 -> "\458205}Hp"; -1 -> "+I"; 2 -> "\1102270\&7\433760dD"; _ -> error "unhandled";) [1,1,3] ==> "\458205}Hp"	(Ord t2) => (t2 -> t1) -> [t2] -> t1						
			(Eq t1) => (t2 -> t1) -> [t2] -> t1						
			(Ord t1) => (t2 -> t1) -> [t2] -> t1						
			(Eq t1, Eq t2) => (t2 -> t1) -> [t2] -> t1						
			(Ord t1, Eq t2) => (t2 -> t1) -> [t2] -> t1						
			(Eq t1, Ord t2) => (t2 -> t1) -> [t2] -> t1						
			(Ord t1, Ord t2) => (t2 -> t1) -> [t2] -> t1						
			(Eq t2) => (t2 -> t1) -> [t0] -> t1						
firstMatch	[a] -> (a -> Bool) -> a	"yQl|" (\x -> case x of 'a' -> True; ' ' -> False; 'b' -> False; 'A' -> True; _ -> error "unhandled";) ==> '|'	[b1] -> (b1 -> Bool) -> b1	1	1	1873	301	1	2
			[Char] -> (Char -> Bool) -> Char						
			(Ord c1) => [b1] -> (b1 -> c1) -> b1						
			(Eq c1) => [b1] -> (b1 -> c1) -> b1						
			(Eq b1) => [Char] -> (Char -> b1) -> Char						
			(Ord b1) => [Char] -> (Char -> b1) -> Char						
			(Ord b1) => [b1] -> (b1 -> Bool) -> b1						
			(Eq b1) => [b1] -> (b1 -> Bool) -> b1						
			(Ord b1, Ord c1) => [b1] -> (b1 -> c1) -> b1						
